Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.6279433608055115,0.6842290043830872,65.83333333333333,0.6587301587301587,0.6583333333333333
2,0.3883868157863617,0.6523059636354447,62.5,0.62531328320802,0.625
3,0.14477556198835373,0.5858190685510636,71.66666666666667,0.7205882352941176,0.7166666666666667
4,0.050936177093535664,0.5805704444646835,73.33333333333333,0.7430555555555556,0.7333333333333334
5,0.02609277095180005,0.6894694432616234,60.0,0.6018099547511313,0.6
6,0.011885019263718277,0.7043143287301064,62.5,0.62531328320802,0.625
7,0.017509766051080077,0.6974985346198082,67.5,0.6866666666666666,0.675
8,0.010184925643261521,0.8492083132266999,60.0,0.6098901098901099,0.6
9,0.005255189054878429,0.6571088448166847,68.33333333333333,0.7014652014652014,0.6833333333333333
10,0.006376757053658366,0.6624025925993919,64.16666666666667,0.6574560049397962,0.6416666666666667
11,0.003487682156264782,0.755691684782505,61.666666666666664,0.6233842538190364,0.6166666666666667
12,0.004074436638620682,0.7886203810572624,60.833333333333336,0.6108269394714407,0.6083333333333334
13,0.0021712519985157995,0.690615601837635,66.66666666666667,0.6674107142857143,0.6666666666666666
14,0.0017115457070758567,0.7362172782421113,67.5,0.6836199358787526,0.675
