Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.50688746124506,0.6560100317001343,60.833333333333336,0.6177891875566295,0.6083333333333334
2,0.309570487216115,0.4684427946805954,82.5,0.8324808184143222,0.825
3,0.18253470901399851,0.8062845751643181,60.833333333333336,0.6090909090909091,0.6083333333333334
4,0.1553635620046407,0.7322165936231613,58.333333333333336,0.5841750841750841,0.5833333333333333
5,0.08009940749034286,0.9241032063961029,40.0,0.3995535714285714,0.4
6,0.1395128252916038,0.9606657654047013,45.0,0.449944382647386,0.45
7,0.047464929817942904,0.9354667246341706,42.5,0.424812030075188,0.42500000000000004
8,0.0660561196738854,0.8806503295898438,45.0,0.44791666666666663,0.45
9,0.03581047549378127,1.0937188148498536,40.833333333333336,0.40830786329535984,0.4083333333333333
10,0.07011490533477627,0.8084701895713806,45.833333333333336,0.4577583779217122,0.45833333333333337
11,0.021557960414793343,0.904209041595459,42.5,0.4244755244755245,0.42500000000000004
12,0.01897418912849389,1.1251649051904677,40.833333333333336,0.40706843142776683,0.4083333333333333
