Epoch,Training Loss,Validation Loss,Validation Accuracy,Precision,Recall
1,0.6674453794956208,0.6665569365024566,75.83333333333333,0.7589807852965748,0.7583333333333333
2,0.5986543625593186,0.6789307922124863,61.666666666666664,0.6215277777777778,0.6166666666666667
3,0.4608166113495827,0.6288230925798416,78.33333333333333,0.7845982142857143,0.7833333333333333
4,0.3601592093706131,0.5704249411821365,85.83333333333333,0.8665814151747655,0.8583333333333334
5,0.2517051253467798,0.5476970925927163,82.5,0.8258145363408521,0.825
6,0.231956098228693,0.5715372130274773,74.16666666666667,0.7417338149485968,0.7416666666666667
7,0.15631112661212682,0.7125426381826401,50.0,0.5,0.5
8,0.18669524565339088,0.6257265985012055,67.5,0.6810865191146882,0.675
9,0.16925860648043453,0.61743743121624,72.5,0.7255639097744361,0.725
10,0.1633174020797014,0.7197503209114074,53.333333333333336,0.5333333333333333,0.5333333333333333
